Year,Dataset1,Dataset2,Difference,Difference%
2005,25.4,25.4,0.0,0.0
2006,28.0,28.0,0.0,0.0
2007,30.9,30.9,0.0,0.0
2008,52.0,52.0,0.0,0.0
2009,58.0,58.0,0.0,0.0
2010,62.0,62.0,0.0,0.0
2011,69.0,69.0,0.0,0.0
2012,74.0,74.0,0.0,0.0
2013,78.9,78.9,0.0,0.0
2014,83.78,83.78,0.0,0.0
2015,88.6612,88.6612,0.0,0.0
2016,93.5425,93.5425,0.0,0.0
2017,97.17,97.17,0.0,0.0
2005,1.22415,1.22415,0.0,0.0
2006,2.10712,2.10712,0.0,0.0
2007,1.9,1.9,0.0,0.0
2008,1.84,1.84,0.0,0.0
2009,3.55,3.55,0.0,0.0
2010,4.0,4.0,0.0,0.0
2011,5.0,5.0,0.0,0.0
2012,5.45455,5.45455,0.0,0.0
2013,5.9,5.9,0.0,0.0
2014,7.0,7.0,0.0,0.0
2015,8.26,8.26,0.0,0.0
2016,11.0,11.0,0.0,0.0
2017,13.5,13.5,0.0,0.0
2018,16.8,16.8,0.0,0.0
2019,17.6,17.6,0.0,0.0
2020,17.0485,18.4,-1.351499999999998,-7.345108695652164
2005,1.14337,1.14337,0.0,0.0
2006,1.5,1.5,0.0,0.0
2007,1.7,1.7,0.0,0.0
2008,1.9,1.9,0.0,0.0
2009,2.3,2.3,0.0,0.0
2010,2.8,2.8,0.0,0.0
2011,4.7,4.7,0.0,0.0
2012,7.7,7.7,0.0,0.0
2013,13.0,13.0,0.0,0.0
2014,21.3623,21.3623,0.0,0.0
2015,22.0,22.0,0.0,0.0
2016,23.2,23.2,0.0,0.0
2017,26.0,26.0,0.0,0.0
2018,29.0,29.0,0.0,0.0
2019,32.1294,32.1294,0.0,0.0
2020,36.6347,36.6347,0.0,0.0
2021,39.3876,37.8067,1.5808999999999997,4.18153396091169
2022,42.0719,39.2935,2.7783999999999978,7.070889587336322
2005,6.04389,6.04389,0.0,0.0
2006,9.60999,9.60999,0.0,0.0
2007,15.0361,15.0361,0.0,0.0
2008,23.86,23.86,0.0,0.0
2009,41.2,41.2,0.0,0.0
2010,45.0,45.0,0.0,0.0
2011,47.0,47.0,0.0,0.0
2012,49.4,49.4,0.0,0.0
2013,51.8,51.8,0.0,0.0
2014,54.3,54.3,0.0,0.0
2015,56.9,56.9,0.0,0.0
2016,59.6,59.6,0.0,0.0
2017,62.4,62.4,0.0,0.0
2018,65.4,65.4,0.0,0.0
2019,68.5504,68.5504,0.0,0.0
2020,72.2377,72.2377,0.0,0.0
2021,79.3237,79.3237,0.0,0.0
2022,82.6137,82.6137,0.0,0.0
2023,83.1356,83.1356,0.0,0.0
2005,37.6058,37.6058,0.0,0.0
2006,48.9368,48.9368,0.0,0.0
2007,70.87,70.87,0.0,0.0
2008,70.04,70.04,0.0,0.0
2009,78.53,78.53,0.0,0.0
2010,81.0,81.0,0.0,0.0
2011,81.0,81.0,0.0,0.0
2012,82.7,82.7,0.0,0.0
2013,84.4,84.4,0.0,0.0
2014,86.1,86.1,0.0,0.0
2015,87.9,87.9,0.0,0.0
2016,89.7,89.7,0.0,0.0
2017,91.5675,91.5675,0.0,0.0
2019,90.7187,90.7187,0.0,0.0
2020,93.2056,93.2056,0.0,0.0
2021,93.8975,93.8975,0.0,0.0
2022,94.4855,94.4855,0.0,0.0
2005,40.0,40.0,0.0,0.0
2006,52.0,52.0,0.0,0.0
2007,61.0,61.0,0.0,0.0
2008,63.0,63.0,0.0,0.0
2009,64.0,64.0,0.0,0.0
2010,68.0,68.0,0.0,0.0
2011,78.0,78.0,0.0,0.0
2012,85.0,85.0,0.0,0.0
2013,88.0,88.0,0.0,0.0
2014,90.4,90.4,0.0,0.0
2015,90.5,90.5,0.0,0.0
2016,90.6,90.6,0.0,0.0
2017,94.8199,94.8199,0.0,0.0
2018,98.45,98.45,0.0,0.0
2019,99.15,99.15,0.0,0.0
2020,100.0,100.0,0.0,0.0
2021,100.0,100.0,0.0,0.0
2022,100.0,100.0,0.0,0.0
2023,100.0,100.0,0.0,0.0
2005,17.7206,17.7206,0.0,0.0
2006,20.9272,20.9272,0.0,0.0
2007,25.9466,25.9466,0.0,0.0
2008,28.1126,28.1126,0.0,0.0
2009,34.0,34.0,0.0,0.0
2010,45.0,45.0,0.0,0.0
2011,51.0,51.0,0.0,0.0
2012,55.8,55.8,0.0,0.0
2013,59.9,59.9,0.0,0.0
2014,64.7,64.7,0.0,0.0
2015,68.0431,68.0431,0.0,0.0
2016,70.969,70.969,0.0,0.0
2017,74.2949,74.2949,0.0,0.0
2018,77.7,77.7,0.0,0.0
